timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1627273742981,192,Petición HTTP,200,OK,Grupo de Hilos 1-2,text,true,,1042,300,57,57,http://localhost:3000/pi?random_limit=48,185,0,145
1627273742985,188,Petición HTTP,200,OK,Grupo de Hilos 1-30,text,true,,1048,300,57,57,http://localhost:3000/pi?random_limit=48,182,0,141
1627273743071,102,Petición HTTP,200,OK,Grupo de Hilos 1-55,text,true,,1044,300,57,57,http://localhost:3000/pi?random_limit=48,95,0,55
1627273742987,186,Petición HTTP,200,OK,Grupo de Hilos 1-31,text,true,,1056,300,57,57,http://localhost:3000/pi?random_limit=48,179,0,137
1627273743040,133,Petición HTTP,200,OK,Grupo de Hilos 1-1,text,true,,1052,300,57,57,http://localhost:3000/pi?random_limit=48,126,0,89
1627273743040,133,Petición HTTP,200,OK,Grupo de Hilos 1-14,text,true,,1054,300,57,57,http://localhost:3000/pi?random_limit=48,130,0,89
1627273742988,185,Petición HTTP,200,OK,Grupo de Hilos 1-5,text,true,,1040,300,57,57,http://localhost:3000/pi?random_limit=48,178,0,141
1627273743038,135,Petición HTTP,200,OK,Grupo de Hilos 1-11,text,true,,1048,300,57,57,http://localhost:3000/pi?random_limit=48,128,0,89
1627273743074,163,Petición HTTP,200,OK,Grupo de Hilos 1-53,text,true,,1035,300,62,62,http://localhost:3000/pi?random_limit=48,163,0,50
1627273742987,265,Petición HTTP,200,OK,Grupo de Hilos 1-8,text,true,,1057,300,64,64,http://localhost:3000/pi?random_limit=48,265,0,137
1627273742981,282,Petición HTTP,200,OK,Grupo de Hilos 1-18,text,true,,1046,300,64,64,http://localhost:3000/pi?random_limit=48,282,0,143
1627273743069,213,Petición HTTP,200,OK,Grupo de Hilos 1-54,text,true,,1056,300,64,64,http://localhost:3000/pi?random_limit=48,213,0,54
1627273743076,216,Petición HTTP,200,OK,Grupo de Hilos 1-51,text,true,,1052,300,64,64,http://localhost:3000/pi?random_limit=48,216,0,55
1627273742981,328,Petición HTTP,200,OK,Grupo de Hilos 1-3,text,true,,1042,300,65,65,http://localhost:3000/pi?random_limit=48,328,0,150
1627273743035,285,Petición HTTP,200,OK,Grupo de Hilos 1-29,text,true,,1041,300,65,65,http://localhost:3000/pi?random_limit=48,285,0,100
1627273742986,344,Petición HTTP,200,OK,Grupo de Hilos 1-33,text,true,,1040,300,65,65,http://localhost:3000/pi?random_limit=48,344,0,148
1627273743043,296,Petición HTTP,200,OK,Grupo de Hilos 1-19,text,true,,1048,300,65,65,http://localhost:3000/pi?random_limit=48,295,0,92
1627273743120,226,Petición HTTP,200,OK,Grupo de Hilos 1-57,text,true,,1049,300,65,65,http://localhost:3000/pi?random_limit=48,226,0,3
1627273743071,290,Petición HTTP,200,OK,Grupo de Hilos 1-52,text,true,,1057,300,65,65,http://localhost:3000/pi?random_limit=48,290,0,52
1627273743099,288,Petición HTTP,200,OK,Grupo de Hilos 1-37,text,true,,1037,300,67,67,http://localhost:3000/pi?random_limit=48,288,0,40
1627273743080,321,Petición HTTP,200,OK,Grupo de Hilos 1-48,text,true,,1058,300,68,68,http://localhost:3000/pi?random_limit=48,321,0,61
1627273743079,328,Petición HTTP,200,OK,Grupo de Hilos 1-49,text,true,,1054,300,67,67,http://localhost:3000/pi?random_limit=48,328,0,70
